GWIAZDA	jd	mag	idobs	kom
V367 CYG	2454308.3520	7	ZSI	
W CYG	2454308.3541	6.5	ZSI	
V1339 CYG	2454308.3548	6.5	ZSI	
AR LAC	2454308.3555	6.2	ZSI	
BG LAC	2454308.3576	8.8	ZSI	
RT LAC	2454308.3583	9.2	ZSI	
NSV 25832	2454308.3590	9.1	ZSI	
U DEL	2454308.3597	6.7	ZSI	
EU DEL	2454308.3604	6.5	ZSI	
DM DEL	2454308.3611	8.6	ZSI	
S EQU	2454308.3625	8.1	ZSI	
CQ CEP	2454308.3666	8.9	ZSI	
Z LAC	2454308.3673	8.9	ZSI	
X LAC	2454308.3680	8.4	ZSI	
V LAC	2454308.3687	9	ZSI	
GL LAC	2454308.3694	8.5	ZSI	
R SCT	2454308.3701	6.6	ZSI	
BETA LYR	2454315.3333	3.8	ZSI	
DELTA CEP	2454315.3340	3.6	ZSI	
R SCT	2454315.3347	5.9	ZSI	
AF CYG	2454315.3354	7.1	ZSI	
RT CYG	2454315.3361	7.8	ZSI	
X CYG	2454315.3368	6.6	ZSI	
V568 CYG	2454315.3375	6.6	ZSI	
GO CYG	2454315.3381	8.6	ZSI	
Y CYG	2454315.3388	7.5	ZSI	
T VUL	2454315.3423	5.4	ZSI	
V VUL	2454315.3430	8.9	ZSI	
U DEL	2454315.3437	6.8	ZSI	
EU DEL	2454315.3444	6.4	ZSI	
S EQU	2454315.3451	8	ZSI	
AI DRA	2454315.3465	7.1	ZSI	
TX HER	2454315.3472	8.2	ZSI	
X HER	2454315.3479	7	ZSI	
W CYG	2454315.3486	6.4	ZSI	
V1339 CYG	2454315.3493	6.5	ZSI	
AR LAC	2454315.3500	6.1	ZSI	
CM LAC	2454315.3506	8.2	ZSI	
RZ CAS	2454315.3534	6.3	ZSI	
SU CAS	2454315.3541	6.1	ZSI	
P CYG	2454315.3569	4.8	ZSI	
S SGE	2454315.3576	5.5	ZSI	
Z VUL	2454315.3583	7.3	ZSI	
AC HER	2454315.3604	7.8	ZSI	
S SCT	2454315.3618	7.3	ZSI	
R AQL	2454315.3638	8	ZSI	
R LYR	2454315.3645	4.4	ZSI	
BETA LYR	2454320.3256	3.5	ZSI	
ETA AQL	2454320.3263	3.9	ZSI	
DELTA CEP	2454320.3270	3.8	ZSI	
R SCT	2454320.3284	5.8	ZSI	
S SCT	2454320.3291	7.5	ZSI	
X HER	2454320.3298	6.7	ZSI	
G HER	2454320.3305	5.1	ZSI	
TX HER	2454320.3312	8.2	ZSI	
AI DRA	2454320.3319	7.1	ZSI	
AC HER	2454320.3333	7.7	ZSI	
U SGE	2454320.3340	6.5	ZSI	
X CYG	2454320.3347	6.2	ZSI	
V568 CYG	2454320.3354	6.5	ZSI	
GO CYG	2454320.3361	8.55	ZSI	
Y CYG	2454320.3375	7.3	ZSI	
T VUL	2454320.3395	5.5	ZSI	
V VUL	2454320.3402	9	ZSI	
Z VUL	2454320.3423	7.3	ZSI	
S SGE	2454320.3430	5.6	ZSI	
S EQU	2454320.3437	8.2	ZSI	
TX DEL	2454320.3451	9.5	ZSI	
U DEL	2454320.3458	6.7	ZSI	
EU DEL	2454320.3465	6.4	ZSI	
DM DEL	2454320.3472	8.6	ZSI	
U SGE	2454320.3486	6.6	ZSI	
Z LAC	2454320.3493	8.5	ZSI	
X LAC	2454320.3500	8.7	ZSI	
V LAC	2454320.3506	8.6	ZSI	
RR LAC	2454320.3513	8.7	ZSI	
GL LAC	2454320.3520	8.6	ZSI	
CQ CEP	2454320.3527	8.8	ZSI	
W CYG	2454320.3534	6.6	ZSI	
V1339 CYG	2454320.3541	6.5	ZSI	
AR LAC	2454320.3548	6.2	ZSI	
CM LAC	2454320.3555	8.2	ZSI	
GO CYG	2454320.3562	8.6	ZSI	
RZ CAS	2454320.3569	6.3	ZSI	
SU CAS	2454320.3576	5.9	ZSI	
TU CAS	2454320.3583	7.6	ZSI	
TV CAS	2454320.3590	7.3	ZSI	
AF CYG	2454320.3597	7.3	ZSI	
RT CYG	2454320.3604	8.1	ZSI	
T CEP	2454320.3645	9	ZSI	
U SGE	2454320.3659	6.75	ZSI	
EE PEG	2454320.3666	6.9	ZSI	
RS CYG	2454320.3673	8.7	ZSI	
P CYG	2454320.3680	4.8	ZSI	
GO CYG	2454320.3687	8.6	ZSI	
Y CYG	2454320.3694	7.4	ZSI	
U SGE	2454320.3743	6.8	ZSI	
GO CYG	2454320.3826	8.7	ZSI	
U SGE	2454320.3840	6.9	ZSI	
BETA LYR	2454321.3298	3.7	ZSI	
ETA AQL	2454321.3305	3.6	ZSI	
DELTA CEP	2454321.3312	3.6	ZSI	
S SGE	2454321.3319	5.4	ZSI	
U SGE	2454321.3326	6.3	ZSI	
Z VUL	2454321.3333	7.6	ZSI	
DM DEL	2454321.3340	8.6	ZSI	
S EQU	2454321.3347	8.1	ZSI	
TX DEL	2454321.3354	9.4	ZSI	
X CYG	2454321.3361	6.3	ZSI	
GO CYG	2454321.3368	8.5	ZSI	
Y CYG	2454321.3375	7.3	ZSI	
AR LAC	2454321.3381	6.2	ZSI	
CM LAC	2454321.3388	8.1	ZSI	
R AQL	2454321.3409	8.2	ZSI	
AI DRA	2454321.3416	7.2	ZSI	
TX HER	2454321.3430	8.2	ZSI	
Z VUL	2454321.3472	7.5	ZSI	
X CYG	2454322.3222	6.4	ZSI	
GO CYG	2454322.3229	8.5	ZSI	
Y CYG	2454322.3236	7.3	ZSI	
AR LAC	2454322.3243	6.2	ZSI	
CM LAC	2454322.3250	8.2	ZSI	
DM DEL	2454322.3270	8.9	ZSI	
S EQU	2454322.3277	8.1	ZSI	
S SGE	2454322.3284	5.6	ZSI	
U SGE	2454322.3291	6.3	ZSI	
Z VUL	2454322.3298	7.3	ZSI	
V458 VUL	2454322.3340	8.5	ZSI	
X SGE	2454322.3347	8.3	ZSI	
HU SGE	2454322.3354	7.8	ZSI	
NSV 24970	2454322.3354	7.1	ZSI	
Z LAC	2454322.3375	8	ZSI	
X LAC	2454322.3381	8.7	ZSI	
V LAC	2454322.3388	8.9	ZSI	
BETA LYR	2454322.3402	3.5	ZSI	
RZ CAS	2454322.3409	6.3	ZSI	
SU CAS	2454322.3416	6.2	ZSI	
TU CAS	2454322.3423	7.9	ZSI	
TV CAS	2454322.3430	7.3	ZSI	
AI DRA	2454322.3437	7.1	ZSI	
ETA AQL	2454327.3159	3.6	ZSI	
BETA LYR	2454327.3166	3.4	ZSI	
DELTA CEP	2454327.3173	3.7	ZSI	
R SCT	2454327.3180	5.7	ZSI	
S SGE	2454327.3194	5.8	ZSI	
Z VUL	2454327.3201	7.3	ZSI	
X CYG	2454327.3208	7	ZSI	
GO CYG	2454327.3215	8.45	ZSI	
S SCT	2454327.3222	7.2	ZSI	
Y CYG	2454327.3229	7.2	ZSI	
T VUL	2454327.3236	6.2	ZSI	
V VUL	2454327.3243	9.4	ZSI	
RZ CAS	2454327.3250	6.3	ZSI	
SU CAS	2454327.3256	6.3	ZSI	
TU CAS	2454327.3263	8.1	ZSI	
TV CAS	2454327.3270	7.3	ZSI	
Z LAC	2454327.3277	8.6	ZSI	
X LAC	2454327.3284	8.4	ZSI	
V LAC	2454327.3291	9	ZSI	
RR LAC	2454327.3298	8.8	ZSI	
T CEP	2454327.3305	8.6	ZSI	
V458 VUL	2454327.3340	9.6	ZSI	
W CYG	2454327.3347	6.3	ZSI	
V1339 CYG	2454327.3354	6.5	ZSI	
AR LAC	2454327.3361	6.2	ZSI	
CM LAC	2454327.3368	8.1	ZSI	
AI DRA	2454327.3375	7.1	ZSI	
R LYR	2454327.3388	4.6	ZSI	
AC HER	2454327.3402	7.6	ZSI	
TX HER	2454327.3409	8.1	ZSI	
U DEL	2454327.3416	6.9	ZSI	
EU DEL	2454327.3423	6.4	ZSI	
DM DEL	2454327.3430	8.6	ZSI	
U SGE	2454328.3000	6.3	ZSI	
S SGE	2454328.3006	5.7	ZSI	
Z VUL	2454328.3013	7.3	ZSI	
X CYG	2454328.3020	7.1	ZSI	
GO CYG	2454328.3027	8.55	ZSI	
Y CYG	2454328.3034	7.1	ZSI	
T VUL	2454328.3041	5.8	ZSI	
BETA LYR	2454328.3048	3.5	ZSI	
DELTA CEP	2454328.3055	3.8	ZSI	
ETA AQL	2454328.3062	3.7	ZSI	
AI DRA	2454328.3069	7.1	ZSI	
TX HER	2454328.3076	8.2	ZSI	
V5558 SGR	2454328.3083	7.3	ZSI	
DM DEL	2454328.3090	8.6	ZSI	
S EQU	2454328.3097	8	ZSI	
TX DEL	2454328.3104	9.3	ZSI	
V458 VUL	2454328.3187	10.1	ZSI	
RZ CAS	2454328.3208	6.3	ZSI	
SU CAS	2454328.3215	6.1	ZSI	
TU CAS	2454328.3222	8.1	ZSI	
TV CAS	2454328.3229	7.4	ZSI	
Z LAC	2454328.3236	8	ZSI	
X LAC	2454328.3243	8.6	ZSI	
V LAC	2454328.3250	9.2	ZSI	
GL LAC	2454328.3256	8.6	ZSI	
AR LAC	2454328.3263	6.2	ZSI	
CM LAC	2454328.3270	8.2	ZSI	
NSV 25832	2454328.3277	8.9	ZSI	
MIU CEP	2454328.3284	4.1	ZSI	
GO CYG	2454328.3312	8.6	ZSI	
SS CYG	2454328.3548	12.2	ZSI	
R SCT	2454331.3104	5.4	ZSI	
S SCT	2454331.3111	7.5	ZSI	
BETA LYR	2454331.3118	3.4	ZSI	
DELTA CEP	2454331.3125	3.5	ZSI	
ETA AQL	2454331.3131	4.1	ZSI	
X CYG	2454331.3138	6.7	ZSI	
V568 CYG	2454331.3145	6.5	ZSI	
GO CYG	2454331.3152	8.5	ZSI	
Y CYG	2454331.3159	7.2	ZSI	
T VUL	2454331.3166	6.2	ZSI	
V VUL	2454331.3173	9.3	ZSI	
W CYG	2454331.3180	6.5	ZSI	
V1339 CYG	2454331.3187	6.5	ZSI	
SS CYG	2454331.3194	10.1	ZSI	
AR LAC	2454331.3201	6.1	ZSI	
CM LAC	2454331.3208	8.1	ZSI	
BG LAC	2454331.3215	9.1	ZSI	
RT LAC	2454331.3222	9.3	ZSI	
X HER	2454331.3229	6.5	ZSI	
G HER	2454331.3236	4.9	ZSI	
AC HER	2454331.3243	7.3	ZSI	
TX HER	2454331.3250	8.1	ZSI	
AI DRA	2454331.3256	7.1	ZSI	
AF CYG	2454331.3263	7.8	ZSI	
RT CYG	2454331.3270	8.6	ZSI	
RZ CAS	2454331.3277	6.4	ZSI	
SU CAS	2454331.3284	6.3	ZSI	
TU CAS	2454331.3291	7.9	ZSI	
TV CAS	2454331.3298	7.3	ZSI	
S SGE	2454331.3305	5.4	ZSI	
X SGE	2454331.3312	8.4	ZSI	
U SGE	2454331.3319	6.3	ZSI	
Z VUL	2454331.3326	7.3	ZSI	
U DEL	2454331.3333	7	ZSI	
EU DEL	2454331.3340	6.5	ZSI	
DM DEL	2454331.3347	8.5	ZSI	
S EQU	2454331.3354	8	ZSI	
TX DEL	2454331.3361	9.5	ZSI	
T CEP	2454331.3368	8.2	ZSI	
CHI CYG	2454331.3375	9.2	ZSI	
Z LAC	2454331.3381	8.6	ZSI	
RR LAC	2454331.3388	9.1	ZSI	
X LAC	2454331.3395	8.7	ZSI	
V LAC	2454331.3402	9.2	ZSI	
GL LAC	2454331.3409	8.6	ZSI	
CQ CEP	2454331.3416	8.8	ZSI	
R AQL	2454331.3423	8.2	ZSI	
MY CYG	2454331.3444	8.3	ZSI	
V382 CYG	2454331.3451	8.5	ZSI	
R LYR	2454331.3472	4.5	ZSI	
S CEP	2454331.3500	9.9	ZSI	
VV CEP	2454331.3506	5.3	ZSI	
MIU CEP	2454331.3513	4	ZSI	
GK CEP	2454331.3548	7.2	ZSI	
EK CEP	2454331.3555	8	ZSI	
SS CYG	2454331.4104	9.8	ZSI	
BETA LYR	2454334.3013	4	ZSI	
DELTA CEP	2454334.3020	4.2	ZSI	
X CYG	2454334.3027	6.1	ZSI	
GO CYG	2454334.3034	8.6	ZSI	
Y CYG	2454334.3041	7.2	ZSI	
MY CYG	2454334.3048	8.2	ZSI	
AF CYG	2454334.3055	7.6	ZSI	
RT CYG	2454334.3062	8.7	ZSI	
CHI CYG	2454334.3069	9	ZSI	
T CEP	2454334.3076	8.3	ZSI	
RZ CAS	2454334.3083	6.3	ZSI	
SU CAS	2454334.3090	6.3	ZSI	
S EQU	2454334.3111	8.1	ZSI	
AC HER	2454334.3118	7.5	ZSI	
TX HER	2454334.3125	8.1	ZSI	
AI DRA	2454334.3131	7.1	ZSI	
X HER	2454334.3138	6.5	ZSI	
S SGE	2454334.3145	5.6	ZSI	
U SGE	2454334.3152	6.3	ZSI	
Z VUL	2454334.3159	7.3	ZSI	
R SCT	2454334.3166	5.3	ZSI	
R AQL	2454334.3173	8.9	ZSI	
SS CYG	2454334.3194	8.4	ZSI	
AR LAC	2454334.3201	6.1	ZSI	
CM LAC	2454334.3208	8.2	ZSI	
Z LAC	2454334.3215	8.4	ZSI	
X LAC	2454334.3222	8.6	ZSI	
V LAC	2454334.3229	9.1	ZSI	
RR LAC	2454334.3236	9.1	ZSI	
T VUL	2454334.3423	6	ZSI	
V VUL	2454334.3430	9.1	ZSI	
TU CAS	2454334.3437	8	ZSI	
TV CAS	2454334.3444	7.4	ZSI	
RZ CAS	2454335.3083	7.4	ZSI	
SU CAS	2454335.3090	6.4	ZSI	
TU CAS	2454335.3097	7.6	ZSI	
TV CAS	2454335.3104	7.4	ZSI	
BETA LYR	2454335.3111	4	ZSI	
ETA AQL	2454335.3118	3.9	ZSI	
DELTA CEP	2454335.3125	4.1	ZSI	
X CYG	2454335.3131	6.2	ZSI	
GO CYG	2454335.3138	8.45	ZSI	
Y CYG	2454335.3145	7.2	ZSI	
T VUL	2454335.3152	6.1	ZSI	
S SGE	2454335.3159	5.7	ZSI	
U SGE	2454335.3166	6.3	ZSI	
Z VUL	2454335.3173	7.4	ZSI	
AI DRA	2454335.3180	7.2	ZSI	
TX HER	2454335.3187	8.2	ZSI	
U DEL	2454335.3194	7.1	ZSI	
EU DEL	2454335.3201	6.5	ZSI	
DM DEL	2454335.3208	8.7	ZSI	
S EQU	2454335.3215	8.1	ZSI	
TX DEL	2454335.3222	9.3	ZSI	
RZ CAS	2454335.3229	7.3	ZSI	
SS CYG	2454335.3236	8.6	ZSI	
W CYG	2454335.3243	6.4	ZSI	
V1339 CYG	2454335.3250	6.4	ZSI	
AR LAC	2454335.3256	6.1	ZSI	
CM LAC	2454335.3263	8.1	ZSI	
Z LAC	2454335.3270	8.6	ZSI	
X LAC	2454335.3277	8.5	ZSI	
V LAC	2454335.3284	8.7	ZSI	
RR LAC	2454335.3291	9	ZSI	
RZ CAS	2454335.3333	7.1	ZSI	
Y CYG	2454335.3340	7.3	ZSI	
S SGE	2454336.3138	5.8	ZSI	
U SGE	2454336.3145	6.3	ZSI	
Z VUL	2454336.3152	7.3	ZSI	
AI DRA	2454336.3159	7.4	ZSI	
BETA LYR	2454336.3166	3.6	ZSI	
DELTA CEP	2454336.3173	4	ZSI	
S EQU	2454336.3180	8	ZSI	
DM DEL	2454336.3187	8.8	ZSI	
X CYG	2454336.3194	6.3	ZSI	
GO CYG	2454336.3201	8.4	ZSI	
Y CYG	2454336.3208	7.2	ZSI	
MY CYG	2454336.3215	8.2	ZSI	
T VUL	2454336.3222	6	ZSI	
SS CYG	2454336.3229	8.4	ZSI	
AR LAC	2454336.3236	6.1	ZSI	
CM LAC	2454336.3243	8.2	ZSI	
Z LAC	2454336.3250	8.8	ZSI	
X LAC	2454336.3256	8.8	ZSI	
V LAC	2454336.3263	9	ZSI	
RR LAC	2454336.3270	9.2	ZSI	
RZ CAS	2454336.3277	6.3	ZSI	
SU CAS	2454336.3284	6.1	ZSI	
TU CAS	2454336.3291	8.1	ZSI	
TV CAS	2454336.3298	7.4	ZSI	
AI DRA	2454336.3305	7.3	ZSI	
GK CEP	2454336.3312	7.05	ZSI	
EK CEP	2454336.3319	7.9	ZSI	
AC HER	2454336.3333	7.4	ZSI	
AF CYG	2454336.3333	7.7	ZSI	
R SCT	2454336.3340	5.2	ZSI	
EG AND	2454336.3375	7.3	ZSI	
AI DRA	2454336.3465	7.2	ZSI	
Z UMA	2454937.3055	7.9	ZSI	
W UMA	2454937.3069	7.8	ZSI	
BR CVN	2454937.3125	7	ZSI	
V CVN	2454937.3138	7.5	ZSI	
Y CVN	2454937.3152	5.8	ZSI	
ZZ BOO	2454937.3173	6.8	ZSI	
RZ CAS	2454937.3208	6.3	ZSI	
SU CAS	2454937.3215	6.3	ZSI	
AI DRA	2454937.3236	7	ZSI	
W UMA	2454937.3256	7.9	ZSI	
W UMA	2454938.3006	7.7	ZSI	
EPS AUR	2454938.3013	3.2	ZSI	
RZ CAS	2454938.3020	6.3	ZSI	
SU CAS	2454938.3027	6.2	ZSI	
AI DRA	2454938.3034	7.1	ZSI	
ZZ BOO	2454938.3041	6.8	ZSI	
X HER	2454938.3229	6.4	ZSI	
W UMA	2454938.3250	7.9	ZSI	
W UMA	2454943.3180	7.7	ZSI	
RZ CAS	2454943.3215	6.3	ZSI	
SU CAS	2454943.3222	6.4	ZSI	
ZZ BOO	2454943.3229	6.8	ZSI	
AI DRA	2454943.3236	7.2	ZSI	
V CVN	2454943.3298	7.3	ZSI	
Y CVN	2454943.3312	5.6	ZSI	
W UMA	2454943.3340	7.9	ZSI	
W UMA	2454944.3111	7.8	ZSI	
ZZ BOO	2454944.3118	6.8	ZSI	
RZ CAS	2454944.3125	6.3	ZSI	
SU CAS	2454944.3131	6	ZSI	
T HYA	2454944.3166	8.3	ZSI	
X HER	2454944.3194	6.7	ZSI	
G HER	2454944.3215	5.3	ZSI	
AI DRA	2454944.3222	7	ZSI	
W UMA	2454944.3256	7.9	ZSI	
R UMA	2454944.3298	8.4	ZSI	
RR CRB	2454944.3340	8.4	ZSI	
TX HER	2454944.3361	8.1	ZSI	
DELTA CEP	2454944.3388	3.9	ZSI	
VV CEP	2454944.3458	5.3	ZSI	
W UMA	2454944.3472	8	ZSI	
W UMA	2454964.3152	7.7	ZSI	
ZZ BOO	2454964.3180	6.8	ZSI	
V BOO	2454964.3208	8.8	ZSI	
Z UMA	2454964.3229	7	ZSI	
BR CVN	2454964.3263	7	ZSI	
V CVN	2454964.3270	7.1	ZSI	
Y CVN	2454964.3284	5.5	ZSI	
TU CVN	2454964.3298	6	ZSI	
W UMA	2454964.3312	7.8	ZSI	
AI DRA	2454964.3319	7.1	ZSI	
BETA LYR	2454964.3347	3.5	ZSI	
DELTA CEP	2454964.3354	3.8	ZSI	
T CEN	2454964.3388	6.6	ZSI	
AC HER	2454964.3437	7.8	ZSI	
TX HER	2454964.3451	8.2	ZSI	
68U HER	2454964.3472	4.9	ZSI	
X HER	2454964.3479	6.9	ZSI	
G HER	2454964.3486	4.9	ZSI	
W UMA	2454964.3500	7.9	ZSI	
AF CYG	2454964.3520	8	ZSI	
RR LYR	2454964.3548	7.2	ZSI	
CH CYG	2454964.3569	9.3	ZSI	
W CYG	2454964.3604	6.6	ZSI	
V1339 CYG	2454964.3611	6.5	ZSI	
X CYG	2454964.3631	6.8	ZSI	
V568 CYG	2454964.3638	6.6	ZSI	
GO CYG	2454964.3652	8.5	ZSI	
Z LAC	2454964.3694	7.9	ZSI	
X LAC	2454964.3701	8.9	ZSI	
V LAC	2454964.3708	9	ZSI	
RR LAC	2454964.3715	9.1	ZSI	
W UMA	2454964.3729	8	ZSI	
W UMA	2454965.3194	7.7	ZSI	
ZZ BOO	2454965.3215	6.8	ZSI	
U CRB	2454965.3263	7.7	ZSI	
V CRB	2454965.3312	9.4	ZSI	
S UMA	2454965.3368	9.1	ZSI	
R UMA	2454965.3402	8.9	ZSI	
W UMA	2454965.3416	7.9	ZSI	
AI DRA	2454965.3437	7.1	ZSI	
TX HER	2454965.3444	8.1	ZSI	
68U HER	2454965.3451	4.8	ZSI	
R LYR	2454965.3472	4.4	ZSI	
RR LYR	2454965.3527	7.5	ZSI	
BETA LYR	2454965.3534	3.6	ZSI	
DELTA CEP	2454965.3541	3.6	ZSI	
Z LAC	2454965.3597	8	ZSI	
X LAC	2454965.3604	8.6	ZSI	
V LAC	2454965.3611	9	ZSI	
RR LAC	2454965.3625	9.3	ZSI	
AR LAC	2454965.3659	6.5	ZSI	
CM LAC	2454965.3680	8.2	ZSI	
X CYG	2454965.3715	6.8	ZSI	
GO CYG	2454965.3722	8.6	ZSI	
W UMA	2454965.3729	8.1	ZSI	
AK LEO	2454969.3278	8.6	ZSI	
W UMA	2454969.3285	7.7	ZSI	
GR VIR	2454969.3313	7.9	ZSI	
DELTA LIB	2454969.3326	5	ZSI	
AG VIR	2454969.3361	8.4	ZSI	
AH VIR	2454969.3375	9.3	ZSI	
Z UMA	2454969.3451	6.9	ZSI	
V CVN	2454969.3472	7.3	ZSI	
BR CVN	2454969.3479	7	ZSI	
TU CVN	2454969.3486	6.3	ZSI	
Y CVN	2454969.3493	5.6	ZSI	
W UMA	2454969.3500	7.8	ZSI	
GR VIR	2454969.3528	8	ZSI	
ZZ BOO	2454969.3535	6.8	ZSI	
AI DRA	2454969.3542	7.4	ZSI	
RZ CAS	2454969.3556	6.3	ZSI	
SU CAS	2454969.3563	6.1	ZSI	
BETA LYR	2454969.3569	4.2	ZSI	
R LYR	2454969.3576	4.5	ZSI	
AG VIR	2454969.3590	8.4	ZSI	
AH VIR	2454969.3611	9.2	ZSI	
TX HER	2454969.3701	8.1	ZSI	
68U HER	2454969.3708	4.9	ZSI	
AK HER	2454969.3736	8.4	ZSI	
W UMA	2454969.3743	8	ZSI	
AF CYG	2454969.3750	8.1	ZSI	
CH CYG	2454969.3757	9.2	ZSI	
GR VIR	2454969.3764	8	ZSI	
AC HER	2454969.3785	7.5	ZSI	
X HER	2454969.3799	7.2	ZSI	
G HER	2454969.3806	4.8	ZSI	
RR LYR	2454969.3847	7.5	ZSI	
AG VIR	2454969.3868	8.3	ZSI	
AH VIR	2454969.3875	9.1	ZSI	
DELTA CEP	2454969.3910	4	ZSI	
AI DRA	2454969.3924	7.2	ZSI	
W UMA	2454969.3938	8.2	ZSI	
TV CAS	2454969.3944	7.3	ZSI	
X CYG	2454969.3958	6.7	ZSI	
V568 CYG	2454969.3965	6.6	ZSI	
GO CYG	2454969.3972	8.4	ZSI	
Y CYG	2454969.3986	7.2	ZSI	
Z LAC	2454969.4000	9	ZSI	
RR LAC	2454969.4007	8.9	ZSI	
X LAC	2454969.4014	8.6	ZSI	
V LAC	2454969.4021	9.1	ZSI	
W CYG	2454969.4028	6.5	ZSI	
V1339 CYG	2454969.4035	6.6	ZSI	
AR LAC	2454969.4042	6.1	ZSI	
CM LAC	2454969.4049	8.2	ZSI	
GR VIR	2454969.4069	8.1	ZSI	
U CRB	2454969.4104	7.6	ZSI	
AG VIR	2454969.4125	8.4	ZSI	
AH VIR	2454969.4132	8.9	ZSI	
W UMA	2454969.4139	8.3	ZSI	
AI DRA	2454969.4146	7.1	ZSI	
ZZ BOO	2454977.3270	6.8	ZSI	
Z UMA	2454977.3277	7.1	ZSI	
V CVN	2454977.3298	7.4	ZSI	
TU CVN	2454977.3305	5.9	ZSI	
Y CVN	2454977.3312	5.6	ZSI	
W UMA	2454977.3333	7.7	ZSI	
AI DRA	2454977.3340	7.1	ZSI	
GR VIR	2454977.3381	8.1	ZSI	
AG VIR	2454977.3402	8.8	ZSI	
AH VIR	2454977.3423	9.4	ZSI	
AC HER	2454977.3451	7.2	ZSI	
68U HER	2454977.3458	4.8	ZSI	
TX HER	2454977.3465	8.1	ZSI	
X HER	2454977.3486	7.1	ZSI	
G HER	2454977.3493	4.7	ZSI	
W UMA	2454977.3506	7.8	ZSI	
GR VIR	2454977.3555	8	ZSI	
AG VIR	2454977.3576	8.7	ZSI	
AH VIR	2454977.3590	9.2	ZSI	
AF CYG	2454977.3604	8	ZSI	
CH CYG	2454977.3618	9.4	ZSI	
BETA LYR	2454977.3652	3.6	ZSI	
R LYR	2454977.3659	4.6	ZSI	
X CYG	2454977.3687	6.5	ZSI	
V568 CYG	2454977.3694	6.6	ZSI	
GO CYG	2454977.3708	8.6	ZSI	
Y CYG	2454977.3715	7.3	ZSI	
W UMA	2454977.3722	8	ZSI	
DELTA CEP	2454977.3729	4.1	ZSI	
Z LAC	2454977.3736	8.3	ZSI	
X LAC	2454977.3743	8.5	ZSI	
V LAC	2454977.3750	9.2	ZSI	
RR LAC	2454977.3756	9.2	ZSI	
W CYG	2454977.3763	6.4	ZSI	
V1339 CYG	2454977.3770	6.7	ZSI	
AR LAC	2454977.3777	6.2	ZSI	
CM LAC	2454977.3784	8.2	ZSI	
GR VIR	2454977.3791	7.9	ZSI	
AG VIR	2454977.3798	8.7	ZSI	
AH VIR	2454977.3805	9	ZSI	
ZZ BOO	2454978.3361	6.9	ZSI	
AI DRA	2454978.3368	7.1	ZSI	
68U HER	2454978.3375	4.9	ZSI	
TX HER	2454978.3381	8.1	ZSI	
RZ CAS	2454978.3416	7.7	ZSI	
SU CAS	2454978.3423	6.3	ZSI	
GR VIR	2454978.3437	8.3	ZSI	
AG VIR	2454978.3444	8.8	ZSI	
AH VIR	2454978.3451	9.4	ZSI	
W UMA	2454978.3472	7.8	ZSI	
BETA LYR	2454978.3479	3.4	ZSI	
RS HER	2454978.3520	8.8	ZSI	
RZ CAS	2454978.3527	7.5	ZSI	
X CYG	2454978.3541	6.5	ZSI	
GO CYG	2454978.3548	8.4	ZSI	
Y CYG	2454978.3555	7.4	ZSI	
GR VIR	2454978.3611	8.2	ZSI	
AG VIR	2454978.3618	8.7	ZSI	
AH VIR	2454978.3625	9.3	ZSI	
W UMA	2454978.3659	8	ZSI	
RZ CAS	2454978.3673	7.2	ZSI	
AR LAC	2454978.3680	6.1	ZSI	
CM LAC	2454978.3687	8.3	ZSI	
DELTA CEP	2454978.3694	4.2	ZSI	
Z LAC	2454978.3701	8.6	ZSI	
X LAC	2454978.3708	8.7	ZSI	
V LAC	2454978.3715	8.8	ZSI	
RR LAC	2454978.3722	9.3	ZSI	
GO CYG	2454978.3736	8.5	ZSI	
GR VIR	2454978.3763	8.2	ZSI	
AG VIR	2454978.3770	8.6	ZSI	
AH VIR	2454978.3777	9.1	ZSI	
RZ CAS	2454978.3791	6.9	ZSI	
ZZ BOO	2455033.3326	6.8	ZSI	
AC HER	2455033.3361	8.1	ZSI	
TX HER	2455033.3410	8.1	ZSI	
68U HER	2455033.3417	4.8	ZSI	
X HER	2455033.3423	6.5	ZSI	
G HER	2455033.3430	5.1	ZSI	
BETA LYR	2455033.3444	4.1	ZSI	
R LYR	2455033.3451	4.4	ZSI	
R SCT	2455033.3465	6	ZSI	
AF CYG	2455033.3479	7.4	ZSI	
CH CYG	2455033.3500	8.9	ZSI	
RT CYG	2455033.3521	6.9	ZSI	
X CYG	2455033.3562	7.2	ZSI	
V568 CYG	2455033.3569	6.6	ZSI	
GO CYG	2455033.3576	8.6	ZSI	
W CYG	2455033.3590	6.7	ZSI	
Y CYG	2455033.3590	7.2	ZSI	
V1339 CYG	2455033.3604	6.4	ZSI	
AR LAC	2455033.3611	6.2	ZSI	
CM LAC	2455033.3618	8.1	ZSI	
BG LAC	2455033.3625	8.9	ZSI	
RT LAC	2455033.3632	9.3	ZSI	
DELTA CEP	2455033.3639	4.1	ZSI	
Z LAC	2455033.3653	8.6	ZSI	
X LAC	2455033.3660	8.4	ZSI	
V LAC	2455033.3667	8.9	ZSI	
RR LAC	2455033.3674	8.9	ZSI	
RZ CAS	2455033.3688	6.8	ZSI	
SU CAS	2455033.3695	6.3	ZSI	
TU CAS	2455033.3702	8	ZSI	
TV CAS	2455033.3708	7.4	ZSI	
AI DRA	2455033.3715	7.1	ZSI	
DM DEL	2455033.3743	8.5	ZSI	
S EQU	2455033.3764	8.3	ZSI	
